Title,Latitude,Longitude,URL
National Theatre,51.507238,-0.1144465,https://www.google.com/maps/place/National+Theatre/data=!4m2!3m1!1s0x487604a3a9db8b75:0x1761ec87fcadd30d
The Brunswick Centre,40.726476,-74.05049,https://www.google.com/maps/place/The+Brunswick+Centre/data=!4m2!3m1!1s0x48761b374a7fb823:0x6433d97c9da7c025
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London",51.501725,-0.158725,"https://www.google.com/maps/place/The+Park+Tower+Knightsbridge,+a+Luxury+Collection+Hotel,+London/data=!4m2!3m1!1s0x487605397f5feec5:0xebb91acde1ff46af"
Kensington Town Hall,51.501233,-0.194648,https://www.google.com/maps/place/Kensington+Town+Hall/data=!4m2!3m1!1s0x48760ff0bfbfbd9b:0x6152b1c3894b7675
Smithson Plaza,34.913775,-110.16411,https://www.google.com/maps/place/Smithson+Plaza/data=!4m2!3m1!1s0x487604d7b28b330b:0xc0ab675a4dbec83d
Metropolitan Police Forensic Science Laboratory,39.365632,-76.719053,https://www.google.com/maps/place/Metropolitan+Police+Forensic+Science+Laboratory/data=!4m2!3m1!1s0x487604c009ff0ff7:0xebb1fe6c30fec347
Swiss Cottage Library,51.542327,-0.173543,https://www.google.com/maps/place/Swiss+Cottage+Library/data=!4m2!3m1!1s0x48761a91207a12cb:0xba6990c30eb20a02
Lambeth Towers,25.212437,55.276367,https://www.google.com/maps/place/Lambeth+Towers/data=!4m2!3m1!1s0x487604be7a471f29:0x35da2e2f9b3602a5
Balfron Tower,51.5135505,-0.008849,https://www.google.com/maps/place/Balfron+Tower/data=!4m2!3m1!1s0x487602ad1fe244f1:0x9f4bcf464d6ae570
Trellick Tower,51.523613,-0.2057645,https://www.google.com/maps/place/Trellick+Tower/data=!4m2!3m1!1s0x4876101a2135c6c7:0xb5a16107bbcd260
Imperial Hotel,4.39914,113.990439,https://www.google.com/maps/place/Imperial+Hotel/data=!4m2!3m1!1s0x48761b33203b0783:0x18d75456e054c5bb
Brixton Recreation Centre,51.4634025,-0.1152705,https://www.google.com/maps/place/Brixton+Recreation+Centre/data=!4m2!3m1!1s0x4876046640c1352d:0x7bab925e4631fb68
The Battleship Bldg,51.520143,-0.1811955,https://www.google.com/maps/place/The+Battleship+Bldg/data=!4m2!3m1!1s0x48761aabe70d019f:0x94eae23c7e6b1cb6
Barbican Centre,51.51997969,-0.096157625,https://www.google.com/maps/place/Barbican+Centre/data=!4m2!3m1!1s0x48761b56fb64b275:0xc756e26675d21f40
